,video_id,comments
19,mwNHpf28Hq0,"['Beautifully made', 'That was dope!', '👌👌👌👌']"
20,avmhS-WZM1k,"['Что за аниме в этом амв?', '👌👌👌👌']"
21,zmXFJ0oNVvg,['А я ведь жду Ru Comix 4']
22,zN7zCse4uj4,"['what is the anime at the beginning of the video? (here 0:01)', 'что за аниме в начале ролика? (вот тут 0:01)', 'Amazing❤🔥👍love this']"
23,Csvhd8YZhBc,['👌👌👌']
24,2uxssRgKFW8,['Hahaha good idea truly a good idea using DOOM for Berserk xD']
25,opaRb5py7yE,['👌👌']
26,GJZI-vSdqnU,"['залипательно. Тайтлу подходит', 'ТУПАЯ песенка про ТУПЫХ с ТУПЫМ названием..\nНО получилось в тему...', 'Super', 'Золотой фонд']"
27,22PtFSzhq1I,"['Nice', 'это было охуенно']"
28,EUT_XF7IP4A,[]
29,EBCp3uvigNY,[]
30,DzNXvEaplss,"['вааааааааа, как круто', 'Музыка зачетная но мне не зашла под этот видеоряд', 'Nice', 'Крутой мувик)', 'о как !!!!!!!!!!!!!!!!1']"
31,bR0E4LYGItE,"['Suddenly appeared on my feed', 'Офигенный клип , просто супер !!!', 'This is the first MAD I really liked!', '👌👌👌']"
32,9vb69LoTNEA,"['👌👌', 'Топчик, я рад что канал ожил.']"
33,u9ceXqBSKcY,['👌👌👌']
34,rLElVYMs_uE,"['Как был топчик так и остался.  По зоду шедевр, ребят)', 'Nice Amv Bro i hope you Check my amv to', 'Vibing big time to this nice bro', 'Это, конечно, крутота, но ведь почти 3 года прошло. Нет актуалочки?', 'Amazing 😉']"
35,HKIV-h3U9Qw,"['Cool', 'перфекто', '👌👌👌']"
36,oSQBG_E3L7k,"['SPC TENET', 'Well done!']"
37,VUCeCsV3-zM,['👍👍👍']
38,5dpVN7sp-Qk,"['Вот как они это делают?', 'музыка топ']"
39,SxGNjpMxF40,"['Ru comix 4 будет ?', 'Зашибись классно']"
40,su-sMAL328M,['Классный клип вышел)И музыка на высоте)']
41,IkcnsQPMdLo,"['Beautiful work', 'Напишите описание!', 'Amazing amv', ""Omg yes! It's late At Night where I am. Also, I would love to be friends xo""]"
42,eIvZs1GGMF4,"['Где видосики?', '播放量惨淡', 'Нафиг вы основной канал закрыли...приступы самоубийства что ли? Дебилизм...', 'How come the other amvs in your channel got deleted ?', 'Nice Amv']"
43,YiP2KeuY06c,['вот бы качество видео повыше было ....']
44,ddC9qKRJXes,['Шикарно']
45,vakDfZQJiAE,"['ламповое вопоминания !', 'Круто']"
46,0ZvNZfeRo-g,"['I can feel the ending', '💞', 'эт откуда нарыли старье?']"
47,us2k5WMw9NU,"['Nice, love this AMV', 'Офигенно']"
48,mMd6Z78nhos,['Клаассно']
49,9Ys9VDx5k58,"['Умели же раньше делать! (:', 'Как суперски']"
50,gyilea53pxc,['Милашно']
51,-vjtp3CwchA,['Это очень круто']
52,W-IzqCZtD4Q,['Go back to SLEEP!']
53,jqgifadUhc0,['Очень круто']
54,RwsDZ5Warvs,"['Эта песня, прекрасно 😂❤️❤️', 'Годное амв (давно скачал)']"
55,sdC1o4gBtWk,['Так красиво']
56,S5cp4OcmJX4,['Офигенно']
57,ruD9Npi6mQg,['Круто']
58,RrOD4Y15Jq8,[]
59,k7cpGFChiKM,"[""It's just very cool AMV!!!With me like) Could not whether you watch my Amv? https://youtu.be/QZ4OWx-P4U8"", 'AWESOME MY FRIEND❤✔ BIG LIKE FOR U👍👌 Stay connected... Ilove this cahannel ... +1commont+Subscribe+like ... IWANNA SUBSCRIBE YOU CAN YOU SUBSCRIBE ME BACK PLZZ..❤✔👌']"
60,YFswjaD3BCg,[]
61,33S9HlBEOTs,[]
62,A4IxzCC5zKo,"['Epico', 'Seriously, you had did such an amazing job! Especially with the editing, using the right scene with lyrics, so much more. 5 Stars', 'Check this out \nI found this nice\nhttps://youtu.be/x7khkUWupAA']"
63,4vmFUiCOqLQ,['Нарезка клипа под музон хорошо зделана 👍талант']
64,wGhShk6ORZY,[]
65,Se3e-ig70dA,[]
66,vj33NQnhg78,[]
67,E7u3GR5THeI,"['история монстров классное аниме', 'шикос', 'Классно']"
68,yc1T9TDZ7kI,"['wow this is underappriciated. the style is so pretty', 'Оригинальное аниме более безысходное и грустное.']"
69,M5I8eRjhxyA,"['What’s the name of the character 02:21?', 'Клип ставший классикой.']"
70,TSmwCEgDSes,['Love this']
71,Yl3p3xtJfDU,[]
72,4mt22QK9Y94,[]
73,aNVJKZwNb_c,['good']
74,igGe-W1efMw,[]
75,s-mkeEXDsa4,[]
76,nmDgI6_tzCw,[]
77,kdki4gH_obI,['С теперешних моих лет смотрится и ощущается по другому =)\n\nP.S Мой коммент на этот ролик еcть на ньюсе дотированный 12 годом =)']
78,p2dRSMKVBLE,"['tenia mucho tiempo buscando esta cancion, graciasssssssssssssssssssssssssssssssssssss.']"
79,Tmz875YPZ5I,['The title translates as Love Wind. And the wind is always welcome. Always good. Right? It can not hurt you. It can not tear your life apart. Right?']
80,gxM6ErIxZq8,[]
81,sKDRCUH-zIc,"['Amazing', 'Melhor amv']"
82,lraVkt8cUjo,[]
83,Q96zuonRp40,[]
84,YRKqv4kx2Ok,"[""Great video AMV News Chronicles!!\nGot some amazing content here for sure! Keep it up!\n💚💜💙say mind checking out my AMV's? 💙💜💚"", 'Nice', 'Very good']"
85,nmRTfuFbJpg,['браво']
86,OSogfyAG_yI,['EPIC. LEGENDARY.']
87,sRuWB-WMR9k,"['Nice', 'Супер']"
88,wcOtQ3sIs6Q,['sugoi!! :D\nadd me https://youtu.be/_oCIZF3lG8w']
89,pg0uNQZ8BqY,['Pavlis']
90,HDVI6kGZyww,[]
91,fW1nAzj8EaE,['2:02 what anime? after azumanga dance']
92,mKQmWnldQos,['Идеально! ...']
93,gacxONWglrA,[]
94,ilKYcmoQ02w,"['I love this! 😍😆', 'Why am I only just now seeing this masterpiece', 'Years later and this is still absolute gold.', 'Weird, I thought this video came out a couple years before.', 'I was like wtf was that first part, then rewatched futura a and was like ohhh this sounds familiar.', 'Still a fun song, a fun anime, and an awesome AMV!', 'Very awesome and put together', 'A classic from the good old days.', ""When I was 6, me and my sister would watch and dance to amv's in her room and this was one of them. I'm 16 now. Thank you for making my childhood"", 'This amv got me into Nichijou']"
95,3z1lBOxmngw,"[""I don't even know what the fuck this is"", 'hola  💔', 'Сиськи ! Сиськи ! Сиськи ! Сиськи ! Сиськи !', 'great work keep that fire lit to bring more fire ;)']"
96,XolACl6Gnyo,"['Me gustó el vídeo gracias esperó y este mas tiempo en YouTube gracias👍🌟', 'Очень атмосферная и стильная работа, из одной серии сделать такую конфетку это просто шикарно, правда с переходами на фото немного переборщили вначале, надо было чуть реже, но к середине видео это почти не чувствуется. В целом хоть и не так сложно все выглядит, но очень сильно этим проникаешься, особенно если и аниме смотрел и в игру играл']"
97,Wt-jOwiqkmk,[]
98,6LP5TNoerWc,[]
99,ilqhap5-D8c,[]
100,d7m-6Ng_jzQ,[]
101,tLYZfNmj32Q,"[""Awesome video Chronicles!! 🔥\nYou have some really cool content!\n💚💙say mind checking out my AMV's? 💙💚""]"
102,F63TIojbVuI,"['https://youtu.be/Qs6eV42ZkcQ', 'good job on this AMV such a creative way to show a creative piece of your mind hope to see more of your greatness :D']"
103,mgUoYVeamSw,"['мои глоза)', 'Wooooow, omg, gz', 'Very good!! great job <3<3<3']"
104,5lAVgjP3IyU,"['i add this video in my two playlists long time ago ....', '119 views , realy ?']"
105,KrBy2zfcLmA,[]
106,MoLx_kvJK0A,[]
107,dWXlkfrNLm4,[]
108,sVoXnLH5IUE,[]
109,594d1bbpqeQ,[]
110,rE9d5xd3Da8,[]
111,KayKx9BDXqA,"['Legend', 'Люблю подобный стиль.']"
112,mQ6pduagmN4,['Nice']
113,x8miCX-6dKg,['Awesome can you check my edits out and let me know what you think']
114,IUm2joodOfI,['Nice']
115,hyMNtDlMHSk,['Nice!']
116,qa_gek9n9oU,['Thxx♥Good Job) +1 Sub']
117,2pc2E_scFL4,[]
118,dzcBv-poB2o,[]
119,Sn9RIgPpGfg,[]
120,25U7U8xBHuk,[]
121,icVL73L63WY,"['Hello I am an old anime person and this is my favorite AMV. Thank you for uploading for my nostalgia!!', ""I've known this AMV for years. I cry every time I watch it.  Never has love been animated so flawlessly then lovingly put into a collage with perfect music.  This is flawless.  I am now old and alone, and it breaks my heart that I may never find a love like this."", '🤠', 'perfect :0']"
122,aOhCZl53p8U,[]
123,iPzmNZtpeiE,['Love it amazing beautiful more']
124,OuV4mGqzZwo,['2008 feelings lol']
125,_J-pCWI4Gag,[]
126,6doi6j5Umvc,[]
127,XK64mIunJjM,['Very good']
128,aTCFagge49k,[]
129,GYW9HjY6OAI,['Прекрасно 👏']
130,_2avq5fM_jQ,[]
131,YP6ENg7vcec,[]
132,v8BiCt7vn0Y,[]
133,NsMHkpKkzwo,[]
134,uQ2DKMyKT-4,[]
135,VQ9FyoYEm_g,"['Nice!', 'Me gustó mucho', 'Te quedo muy bien', 'браво']"
136,6z8Ww_vik4A,[]
137,oSCqjq7stGw,[]
138,elO_A6dsRTc,[]
139,IcYrnAmd8wo,[]
140,P6DCvqYLAQs,"[""I'm sorry i never commented on this in all these years. Nice to see it still up. This Is Amazing!""]"
141,cYhUCQVCQxs,[]
142,7dWEpVmPDjI,[]
143,cUGKd9mKS0I,[]
144,wpHWxlkH2EQ,[]
145,iRXrX5sS138,[]
146,3BvNPpOHxYo,[]
147,HfFL_BwCnTQ,"['Amazing', 'Nice']"
148,zCMDkRzRix4,[]
149,YKq6wsAhYfw,[]
150,FeSKFCodeHs,"['Вот это да, потрясающий монтаж 😁😁😁']"
151,Fwlpl5wzSSA,[]
152,4qeysTryfE4,"['Thank you for bringing this amv Back. So many memories flowed through me watching this again', '*Ура я первый класный anime mix.*']"
153,AyhMJcyucVg,['G']
154,blWntgQPWVg,['а чего в таком качестве паршивеньком ? на акросконе сложно было скачать в хорошем качестве ?']
155,XvdqWRWePmQ,[]
156,ko5eUsCPeIo,[]
157,Iqy6FSFbYXk,[]
158,78OGuPk8OyM,[]
159,clEvY9-Tk28,[]
160,fKbufVqM5yU,[]
161,zJuzyiF1eMA,[]
162,EwAa5MM1heQ,['OMFG GOOD WORK 👍👍👍']
163,3_XD8HUnM-4,"['did i watch it 141 times ?', 'this is very well done amv, you should really check out my SAO amv. I would really like your advice on how I can improve. https://www.youtube.com/watch?v=1CrB_-fy5NA', '99 views realy ?']"
164,pIn6K7Lsqfs,[]
165,8G9eidZ2ZZE,"['Oh god, an early Yoshiura amv']"
166,n0SUkEI5q3Q,['formative part of my adulthood. thank you.']
167,WXgjedYDqYI,"['Классно!! :)', 'Какого года?']"
168,CPJ0KSvur0Y,"['When chantilly is your actual name and you suffered with this song for your whole life', 'Супер!', 'Owo']"
169,vEgaPq70YHs,[]
170,ZS0dD8dPktE,[]
171,ZQq7PLNwitA,[]
172,iFd5-zSyE3M,[]
173,NqD1Gk0atOQ,[]
174,qgehSGLNyBM,[]
175,QdvJpO3HGAA,[]
176,JyU5pve6aGg,[]
177,629hMFRg910,[]
178,h7q7RHFjMjA,[]
179,ReDDenK7kZU,[]
180,NacookIsn9Y,[]
181,aLnXLcvmbUM,['More kenshin plezzz\n\n😍😍😍']
182,t9uLEEp31w0,[]
183,590vx_1QSYM,['Nice one']
184,_dIMTJvCo5E,[]
185,_KPMrHFkMPM,[]
186,dWQ5X6AMf7Y,[]
187,gZ7wcI7h08A,['Cool…']
188,_5hGCbKCYY0,[]
189,OlDzF4MfD24,[]
190,zuJe2LAv_rM,[]
191,3l12KyPwG7k,[]
192,S1U7rTpBab8,[]
193,wv1rJimxcdo,[]
194,Z-ABX8-4_Ow,"['uff i remember this parody, it was 2006 maybe? the AMV boom in youtube,  the times of movie maker lol good memories', 'Great work! :D']"
195,mX6JjBoqQ2w,"['Очень сочный был год, как сейчас помню что каждый сезон был очередной шедевр. Жаль сейчас такого восторга от тайтлов почти нет']"
196,lSm9hmeHhW0,[]
197,uF1ZeiSLEKE,"['*very* *good* *friend,* *your* *AMV* *is* *very* *cool,* *has* *new* *AMV* *on* *my* *channel* *please* *go* *there* *to* *watch* *!!* *thank* *you* ❤']"
198,qSg82ocUPb4,[]
199,YJEYYvqFEGg,"['*very* *good* *friend,* *your* *AMV* *is* *very* *cool,* *has* *new* *AMV* *on* *my* *channel* *please* *go* *there* *to* *watch* *!!* *thank* *you* ❤']"
200,_jqBLPED7N0,[]
201,QR4uk5TpzMI,[]
202,P2D995T9aog,[]
203,kdo4F1R5-BY,['Отдельный лайк за композицию Within Temptation 👍']
204,ADy5a78GQAk,"['Absolutely down right fucking amazing and perfectly well edited. How in two tits of a rats ass is this not your most viewed video.', 'Nice!']"
205,wyAfBXP_QTM,[]
206,QMnKI6AD8CI,"['I’ve been looking for this song for something like 10 years. Finally found it,thanks you', 'hipermeganice xD', 'Nice']"
207,7PxkjUeB9xg,"['Отлично получилось', 'Какой же я старый']"
208,44h0FvuHW7o,['Какой шедевр)']
209,V8MNB5L6Wi4,[]
210,mVD43YbZnUc,[]
211,uLEkX00Nahc,"['good edits keep it up', 'Что за аниме на 0:46?']"
212,rBPMj5k_iuY,[]
213,XioouS1ndA0,['WORLD RECORD VIDEOS AND AMV CONTEST AT YOUTUBE.COM/C/MRMUDKIPZ !!!!!!']
214,mTckoVlMV-U,[]
215,7zovrovRsPU,[]
216,AK4wuvY5yik,[]
217,R8fXI9aJMTU,[]
218,Nyrnn_dIZd0,[]
219,YN5jRao6uSo,[]
220,PA1sblXYSP8,[]
221,nWW_rksAM5Y,['AAAA Digi swann < 33']
222,7dzlzAauBaM,[]
223,u_oWd4gF9IA,[]
